key	ru	en
dumbo	Дамбо	Dumbo
dumbo_desc	Маленький подводный «слоник» с ушками-крыльями — тихо машет ими и будто здоровается с тобой.	A small underwater "elephant" with ears like wings - it quietly flaps them and seems to say hello to you.
fish	Рыба	Fish
fish_desc	Просто рыбка… но кажется, она рада, что ты тут, и хочет плыть рядом.	It's just a fish... but it seems to be happy that you're here and wants to swim next to you.
turtle	Черепаха	Turtle
turtle_desc	Неторопливый мудрый путешественник, который точно знает, что спешить — не обязательно.	A leisurely and wise traveler who knows for sure that there is no need to rush.
shark	Акула	Shark
shark_desc	Большая и сильная, но внутри просто любопытная и немного застенчивая.	Big and strong, but inside just curious and a little shy.
seal	Тюлень	Seal
seal_desc	Круглый, мягкий и очень дружелюбный — кажется, сейчас попросит обнимашки.	Round, soft and very friendly - it looks like it's about to ask for a hug.
crab	Краб	Crab
crab_desc	Идёт боком, чтобы случайно не задеть тебя клешнями — заботится по-своему.	He walks sideways so as not to accidentally hit you with his claws - he takes care of you in his own way.
sea_bunny	Морской кролик	Sea bunny
sea_bunny_desc	Пушистое морское чудо, которое выглядит так, будто сбежало из сна.	A furry sea creature that looks like it's escaped from a dream.
fugu	Фугу	Fugu
fugu_desc	Надувается, когда волнуется… но на самом деле просто хочет выглядеть смелее.	Pouts when he's nervous... but really he just wants to look braver.
