key	ru	en
Finix_400003_caff3044-2738-407a-a96c-454d5d19a75a	У-у-у, вижу заполненную книжку!	Ooooh, I see a filled book!
Finix_400003_dc76d71c-efc6-44a2-a411-a174131d9b03	Прекрасно, теперь я у тебя в долгу.	Great, now I'm in your debt.
Finix_400003_9d4f714a-e9fd-4bbe-9357-d8a756abdc72	Держи морского кролика!	Here's a sea bunny!
Finix_5_d65e7cc5-4547-4a73-a43b-37592915aa7a	Ого! Новенький?	Wow! Newbie?
Finix_5_f0daa8a6-2ed8-4a47-a16a-c6e050f4539c	Приятно познакомиться, а я <link=hlight+wave>Финикс</link>.	Nice to meet you, I'm <link=hlight+wave>Finix</link>.
Finix_5_ab217f4e-42f6-43f4-937c-a3f43735db01	Ужас! Даже у призмы холодно.	Horror! Even near the prism it's cold.
Finix_5_833c573d-cbbc-4bd8-8d4f-93bb35fc1f3c	Вот этот большой кристалл – это призма.	This big crystal is a prism.
Finix_5_15d046a1-a37f-4cae-954f-f7b4c39f3ce2	В том то и дело, что <link=wave>должна</link>!	That's the point, <link=wave>must</link>!
Finix_5_a11d0353-5b6f-4a68-9187-53ede22d6c98	Раньше она согревала тут всё, преломляя лучи солнца сверху.	Previously, it warmed everything here, refracting the sun's rays from above.
Finix_5_75d9175a-4e0d-4f8f-81bf-34d3b5890158	Светит, но очень тускло...	It shines, but very dimly...
Finix_5_010b88ec-cb6b-4a40-ad27-ff535d4be66e	Мы все обречены...	We are all doomed...
Finix_5_77119a16-133b-43c1-9a9e-8a939760fcac	<link=wave>ЧТО ТЫ???</link>	<link=wave>WHAT ARE YOU???</link>
Finix_5_a4931a57-cf15-4f01-ab5f-503675d59603	Ох...	Oh...
Finix_5_0e490199-5482-4d79-a0d9-6a4ccfcf3ac4	Спасибо за поддержку.	Thanks for support.
Finix_5_1b820de7-2d61-4508-bd1a-356a75a616b1	Я тут недавно думала, что можно сделать, чтобы растопить призму...	I was recently thinking about what could be done to melt the prism...
Finix_5_6e74380f-f703-4c7b-a369-237990ae1142	Тут неподалёку есть <link=hlight>ледяные кристаллы</link>, и раз ты так хорошо греешь...	There are <link=hlight>ice crystals</link> nearby, and since you warm them up so well...
Finix_5_6d748274-9f07-4d28-9e9c-1954e147dd02	Ты мог бы <link=hlight+wave>разогреть</link> их!	You could <link=hlight+wave>warm them up</link>!
Finix_5_72cf13dd-f28a-4cc3-9606-c3968c6e780f	Сейчас покажу! И обязательно вернись сюда после того, как согреешь их всех.	I'll show you now! And be sure to come back here after you've warmed them all up.
Finix_6_037fb913-433e-4804-ad4d-613635a950a5	О-о-о, быстро ты! Спасибо.	O-o-o, you're fast! Thank you.
Finix_6_544cc03b-758f-4430-ab2f-0d023077b8f1	Давай попробуем теперь отогреть призму.	Let's try to warm up the prism now.
Finix_6_1044b7b4-4b21-4be9-a586-a48e9b5379e6	Да, но небольшой.	Yes, but small.
Finix_6_ee85018d-cd40-49da-927e-66c060f7d15f	<link=shake>Тертилус в беде!!!</link>	<link=shake>Tertilus is in trouble!!!</link>
Finix_6_170e24fc-7f3d-40d4-bf7d-b577ad93946d	Плывём скорее!	Let's swim faster!
Finix_9_ca6ad7c3-e445-48b2-8430-cca1ddc34292	Я говорила <link=shake>не лезть</link>!!!	I told you <link=shake>not to interfere</link>!!!
Finix_9_a86d4619-b5e3-44d0-952f-99cbdc3b5310	Это слишком опасно.	It's too dangerous.
Finix_9_cad611fb-870d-4b46-a1b6-65bd9c84b30e	Вам нужен отдых, староста.	You need rest, headman.
Finix_9_f7713654-c4fa-4feb-89e9-ccb93153e8f2	Да! Я думала, ты знаешь.	Yes! I thought you knew.
Finix_9_2485a3d1-0c35-456f-8493-10ab457cc432	Я знаю, что тебе хочется узнать больше и помочь...	I know you want to know more and help...
Finix_9_07d85b69-a493-45d8-8832-2333710346dd	Но я пока сама не знаю её природу.	But I don’t know its nature yet.
Finix_9_c453515e-8719-4ee4-a193-be60f21746d4	Ты что-то хотел спросить?	Did you want to ask something?
Finix_9_3ed8b124-0f95-446e-a253-12704e62a883	Он щедрый и не жалеет ничего для добрых существ.	He is generous and spares nothing for good creatures.
