key	ru	en
fragment_0	Раньше я была молодой, яркой и жизнерадостной.	I used to be young, bright and cheerful.
fragment_1	Это было много миллионов лет назад.	It was many millions of years ago.
fragment_2	Но у меня некого было греть.	But I had no one to warm.
fragment_3	Я была одна, в пустом космосе.	I was alone, in empty space.
fragment_4	Я смотрела на других и завидовала.	I looked at others and was envious.
fragment_5	Всю жизнь я мечтала согреть хоть кого-то.	All my life I dreamed of warming at least someone.
fragment_6	И вот я прожила так до самой старости.	And so I lived like this until old age.
fragment_7	Поняв, что уже через пару сотен лет я затхну, я начала искать…	Realizing that in a couple of hundred years I would become stale, I began to search...
fragment_8	Искать таких же одиноких, как и я.	Looking for lonely people like me.
fragment_9	Я пролетела много систем, но все они были наполнены жизнью.	I flew through many systems, but they were all filled with life.
fragment_10	Это путешествие отняло у меня много энергии.	This trip took a lot of my energy.
fragment_11	Но один раз мне все же удалось найти одинокую планету.	But one time I did manage to find a lonely planet.
fragment_12	Она была настолько пустой, но настолько красивой…	She was so empty, but so beautiful...
fragment_13	Что я не смогла пролететь мимо неё.	That I couldn't fly past her.
fragment_14	Планете тоже было очень одиноко, но не могла покинуть орбиту.	The planet was also very lonely, but could not leave orbit.
fragment_15	Из-за сильного притяжения звезды, она была заключена навеки.	Due to the strong attraction of the star, it was locked away forever.
fragment_16	Однако голубая планета была очень доброй.	However, the blue planet was very kind.
fragment_17	Я предложила ей возродить жизнь .	I suggested that she revive her life.
fragment_18	Она не понимала сначала о чём я.	At first she didn't understand what I was talking about.
fragment_19	Однако не стала возражать и согласилась на эту авантюру.	However, she did not object and agreed to this adventure.
fragment_20	Я собралась с мыслями и поняла, что это мой последний шанс…	I collected my thoughts and realized that this was my last chance...
fragment_21	Шанс дать тепло.	A chance to give warmth.
fragment_22	Я начала лететь, сгорая в атмосфере.	I started to fly, burning up in the atmosphere.
fragment_23	Я раскололась на множество кусочков, которые разлетелись по планете.	I shattered into many pieces that scattered across the planet.
fragment_24	Через годы начала зарождаться примитивная жизнь.	Over the years, primitive life began to emerge.
fragment_25	Я все еще была жива, хоть и моя память не была целостной.	I was still alive, even though my memory was not complete.
fragment_26	Видя, как уже другая звезда затухает…	Seeing another star already fading...
fragment_27	Я поняла, что это нельзя так просто оставить.	I realized that I couldn't just leave it like that.
fragment_28	Я сосредоточила все свои силы, чтобы создать живое существо.	I concentrated all my powers to create a living being.
fragment_29	И так свет увидел тебя.	And so the world saw you.
fragment_30	Ты можешь плавать.	You can swim.
fragment_31	Ты можешь согревать.	You can warm up.
fragment_32	Ты можешь призывать рыбок.	You can summon fish.
fragment_33	Ты можешь всплывать и нырять.	You can surface and dive.
fragment_34	Ты можешь замедлять свой метаболзим.	You can slow down your metabolize.
fragment_35	Ты можешь делать рывок.	You can make a dash.
