Lumi_500001_ca899d5e-030c-42d6-8fe8-5b110928ee45	Жизнь как морская вода:	Life is like the ocean tide:
Lumi_500001_8ad6f62a-183d-4f1e-942a-79b058740ce2	Жизнь как морская вода:	Life is like sea water:
Lumi_500001_a3d1d3f5-4d5f-401a-a631-fe924ffec492	Такая же соленая и давящая.	Just as salty and oppressive.
Lumi_500001_89002ff3-26e6-467a-a877-341206f3f53b	А я в ней потухшая звезда,	And I am an extinguished star in it,
Lumi_500001_985ef232-d490-49ba-88db-dde3ca5dd465	Замерзшая и неблестящая.	Frozen and dull.
Lumi_500001_90490d4e-5fa4-4192-83c2-252842bd67c3	Все отвернулись от меня давно,	Everyone turned away from me long ago,
Lumi_500001_ca22a11e-c9f8-46e1-a0aa-dd928a6f982f	Я больше не чувствую тепла.	I don't feel warm anymore.
Lumi_500001_20ade77e-9128-437c-b2ad-99f9cea9d71c	Кошмары снятся, где я падаю на дно.	I have nightmares where I fall to the bottom.
Lumi_500001_71211bac-2c93-4524-9bd4-ef249934ef85	Я больше не хочу быть одна!	I don't want to be alone anymore!
Lumi_500002_26a9b58c-6c55-4cdb-b7df-56615a023b13	Где это я...	Where am I...
Lumi_500002_0ea1bfe5-9e7f-435b-87c0-f92d8ce51fba	Вроде да, а ты кто?	I think so, but who are you?
Lumi_500002_e7ec640c-db57-4f63-b476-3c7265bf9d54	А я... меня зовут Луми.	And I... my name is Lumi.
Lumi_500002_535cbaf9-9b4a-41d8-aef1-c402f65a95ca	Ч-ч-т-т-о-о!?	W-w-w-w-w!?
Lumi_500002_76881a63-9287-408c-9dd3-a326fb9ee3b3	Ты первый, кто похвалил мои стихи...	You are the first one who praised my poems...
Lumi_500002_3f0760b0-9bef-4cc3-ae31-6227c1babdf1	Но что если они будут смеяться!?	But what if they laugh!?
Lumi_500002_40173ce7-eb3b-4758-8169-fd92c67ad042	Хорошо, спасибо тебе огромное, {playerName}!	Okay, thank you so much, {playerName}!
