key	ru	en
warmflower	Теплоцвет	Warmflower
warmflower_desc	Причудливое растение, излучающий теплый цвет. В теории может быть использован для восполнения тепла.	A whimsical plant that radiates warmth. In theory, it could be used to replenish heat.
ice	Лед	Ice
ice_desc	Опасный объект! Резко понижает температуру тела и притягивает его в центр.	Dangerous object! It sharply lowers the body's temperature and attracts it to the center.
vent	Жерло	crater
vent_desc	Опасный объект! Резко поднимает температуру тела и отталкивает его от себя.	Dangerous object! It sharply raises the body's temperature and pushes him away.
star_shard	Осколок звезды	Star fragment
star_shard_desc	Позволяет увеличивать максимальный запас ядер	Allows you to increase the maximum supply of cores
finix_name	Финикс	Phoenix
finix_desc	Большая и сильная, но внутри просто любопытная и немного застенчивая.	Big and strong, but inside just curious and a little shy.
torvald_name	Торвальд	Torvald
torvald_desc	Идёт боком, чтобы случайно не задеть тебя клешнями — заботится по-своему.	He walks sideways so as not to accidentally touch you with his claws - he takes care of you in his own way.
box_push	Толкание коробки	Pushing a box
box_push_desc	Толкай коробку в морской звезде!	Push the box in the starfish!
triggers	Триггер температуры	Temperature trigger
triggers_desc	Триггер температуры реагирует на твою температуру, попробуй ее поменять!	The temperature trigger reacts to your temperature, try changing it!
