key	ru	en
Tertilus_2_980e917a-86c6-405a-9492-cd67a4a3ea7f	Раз ты тут впервые, то я тебе всё покажу.	Since this is your first time here, I'll show you everything.
Tertilus_2_14b1452c-a1e4-4e1e-b0fe-a7f7bf302081	Я не встречал таких, как ты раньше, а живу я тут очень давно!	I haven't met anyone like you before, and I've been living here for a very long time!
Tertilus_2_8a0c1fdb-2784-42f5-9687-6faf7987b459	Кстати, откуда ты, дитя?	By the way, where are you from, child?
Tertilus_2_1b949427-dfdd-47ab-9e27-2e37456713b2	Не переживай, мы нормально относимся к чужакам.	Don't worry, we treat strangers normally.
Tertilus_2_a5a442d1-f91a-4392-946d-49ffdadfc975	Я тебе хотел показать преграды, которые ты можешь встретить.	I wanted to show you the obstacles you might encounter.
Tertilus_2_e3505ff9-55c0-4405-88af-f9c21435e182	Например эту.	For example, this one.
Tertilus_2_b1456eca-9706-429c-8484-5915ff4612ec	Тебе нужно активировать все рычаги, некоторые из них могут быть <link=wave>замёрзшими</link>.	You need to activate all the levers, some of them may be <link=wave>frozen</link>.
Tertilus_2_5a42b04c-f6f5-4ef1-9065-e0e22060e958	Эти пазлы могут тебе часто встречаться в приключениях.	You may often come across these puzzles in your adventures.
Tertilus_2_aacbcf74-ba2a-4332-bc5c-344b87bdfd2a	Отлично!	Great!
Tertilus_2_42c7172b-df8b-41fd-9af2-192f21dcef76	Ой, подожди, а что <link=hlight>там</link>?	Oh, wait, what's <link=hlight>there</link>?
Tertilus_2_a8371dad-373c-4e86-9f2d-f664f73fb2e2	Ух ты, пух ты, это же моя трость!	Oh my, that's my cane!
Tertilus_2_f1c230b1-3639-42f9-b9fb-47e00ae9f9b2	Будь добр, малец, принеси её старцу.	Be kind, boy, and bring it to the old man.
Tertilus_3_6a12402c-dc71-41d1-a3d9-2c06351e2b1f	Спасибо большое!	Thanks a lot!
Tertilus_3_344506f2-a384-4ba0-84fb-b00bfa116886	Слушай, тебе же негде жить получается?	Listen, you have nowhere to live, don’t you?
Tertilus_3_9bee1291-471c-4944-847c-633471888b87	<link=wave>Ох, трость, моя трость...</link>	<link=wave>Oh, my cane, my cane...</link>
Tertilus_3_20f1a3a0-8d27-4c03-94c9-1dc262af3562	Тогда айда за мной!	Then come follow me!
Tertilus_1_2abe8ac8-2cd9-456f-b567-9b7fe72786de	Хо-хо, ну молодчина!	Ho-ho, well done!
Tertilus_1_908933eb-8958-4104-8ff6-60ebe410666c	{playerName}, а пошли за мной!	{playerName}, come follow me!
Tertilus_5_35397533-8083-49f0-a50b-c592bb45025d	Это ещё маленький, у нас тут в <link=hlight>Большом Рифе</link> есть много разных домов.	This is still small, we have many different houses here in <link=hlight>Big Reef</link>.
Tertilus_5_bb477ff6-be63-40e4-8b31-38a846727012	{playerName}, я смотрю, у тебя уже есть предметы.	{playerName}, I see you already have the items.
Tertilus_5_3a3f5426-42cf-4db8-8864-62dd413d4e66	{playerName}, держи от меня подарок!	{playerName}, here's a gift from me!
Tertilus_5_616828fc-facc-49c1-afdf-9bbb9949c381	Ты можешь использовать такие предметы для декорации дома!	You can use such items to decorate your home!
Tertilus_5_3051a9aa-28f9-4318-ab2c-2b589f934b0b	Попробуй, я уверен у тебя получится сделать его действительно уютным!	Try it, I'm sure you'll be able to make it really cozy!
Tertilus_5_6564496c-3650-4317-8f21-f326776aefb3	А мне пора бежать, до скорых встреч, хо-хо-хо!	And I have to run, see you soon, ho-ho-ho!
Tertilus_10_f6419914-1e30-450a-8784-bd9ed1408858	В молодости я был активным, жизнерадостным...	In my youth I was active, cheerful...
Tertilus_10_e5852511-61e3-49be-b0cd-b16480ea1e18	Я собирал партию, избирался.	I was gathering a party and getting elected.
Tertilus_10_128e82da-5f44-40fe-9ea3-ed63e5b5b378	Меня все слушали и поддерживали.	Everyone listened to me and supported me.
Tertilus_10_bd785427-0201-4f98-b365-2239e5a1aac1	Но шло время и я всё отдалялся от молодёжи, утопал в делах.	But time passed and I became more and more distant from the youth and became immersed in my work.
Tertilus_10_48ebd8a4-648f-43da-ad6d-c06c09d7ca96	Я становился типичным взрослым.	I was becoming a typical adult.
Tertilus_10_91501776-11c3-4d97-a57f-79826d1e4853	А потом и вовсе забыл про то, что когда-то был ребёнком.	And then I completely forgot that I was once a child.
Tertilus_10_856c3e45-0ad9-4d8e-9656-2ef735a6b8da	Но когда говорят мой возраст или называют старым...	But when they talk about my age or call me old...
Tertilus_10_f96e43de-84e2-4a39-99a2-25a48ab3257e	Мне становится не по себе.	I feel uneasy.
Tertilus_10_647baf81-76b0-48fe-81e5-ffaf0f77f7a7	К сожалению, ничто не вечно.	Unfortunately, nothing lasts forever.
Tertilus_0_5d9909d8-7a34-467c-9247-47cec47b0b35	Ого-го, у нас тут новенький!	Wow, we have a new guy here!
Tertilus_0_eb0cafc8-b4fa-426f-9426-7cbb2c17fa31	Как тебя звать?	What is your name?
Tertilus_0_8fd7fc56-f4a3-45ab-b848-e0d352cd8bb4	Меня зовут <link=hlight+wave>Тертилус!</link>	My name is <link=hlight+wave>Tertilus!</link>
Tertilus_0_74d78560-881b-44cb-81d9-c4af351c49f5	Приятно познакомиться!	Nice to meet you!
Tertilus_0_704a39ad-2fab-453c-a48e-825e85c82a2d	Кхм, ну немного.	Hmm, well, a little.
Tertilus_0_855884bd-4e94-466f-af9c-cb1dc6ae252d	Я тут собирал  <link=hlight>ракушки</link>, хо-хо, но слишком близко подплыл ко льду...	I was collecting shells here, ho-ho, but I got too close to the ice...
Tertilus_0_ae89919e-b080-47c4-ae97-064821ff9aba	Да не стои...	Don't stand there...
Tertilus_0_b092cfd2-a40a-4a0e-94e2-2c30cb92440a	Ох...	Oh...
Tertilus_0_63efb016-d93b-4509-b8aa-b484baf816d7	И правда стало телпее, малец!	And it really has become warmer, kid!
Tertilus_0_d133ed0b-5e13-43c4-a1cf-0b14e7112333	А всё же ракушки стоило бы собрать...	Still, it would be worth collecting the shells...
Tertilus_0_4e7b4adf-4e77-45da-9480-99d726124f39	У нас они — очень ценный ресурс!	For us they are a very valuable resource!
Tertilus_0_58927fc0-990f-4734-9968-a68555deb3e3	Ты можешь собрать, но оставь себе.	You can collect it, but keep it for yourself.
Tertilus_0_d729300a-8d9c-402b-9fa5-19b8087bbcea	Во-о-он там впереди они есть, собери и возвращайся ко мне.	O-o-o-over there they are ahead, collect them and come back to me.
Tertilus_0_29404444-b2a1-4145-b260-32a032465cbb	Охо-хо, конечно!	Oh-ho, of course!
Tertilus_0_49feb5a1-4cc6-4765-89ab-75cfb39193aa	Ракушки у нас очень давно в обиходе.	Shells have been in our everyday life for a very long time.
Tertilus_0_10f77521-8c07-42b9-b0f5-f309a11e4d33	Они добываются не самым простым способом, так ещё лёд усугубил всё.	They are not obtained in the easiest way, and the ice made everything even worse.
Tertilus_0_2947bd73-1734-43b3-a3cf-c74b4459e00e	Поэтому мы очень ценим этот ресурс и обмениваем  <link=hlight+wave>ценные товары</link> на него.	That's why we value this resource so much and exchange <link=hlight+wave>valuable goods</link> for it.
Tertilus_0_7fd99f45-47dc-41d4-a5d8-75d4b1484283	Тебе они явно нужнее, ты же новенький.	You clearly need them more, since you're new.
Tertilus_0_9479688b-3c66-4885-9184-81170e20bf1b	Конечно.	Certainly.
Tertilus_11_1ef4c888-9cc0-4ffa-979e-394d7d17baab	Ох, ребята...	Oh, guys...
Tertilus_11_06a06023-01ce-44e1-8a92-94e30d5b6d6a	Где я?	Where am I?
Tertilus_11_d5414060-a97d-4688-b1fc-e099db50d27b	Главное, что всё обошлось, ребятки.	The main thing is that everything worked out, guys.
Tertilus_11_73882eee-eb20-4b8c-b015-aa8b9a02b281	И то верно, хо-хо!	And that’s true, ho-ho!
Tertilus_4_3f51c690-f0b4-4230-97c7-840b6409467d	<link=hlight+wave>ПОЗДРАВЛЯЮ С ТВОИМ НОВЫМ ДОМОМ!</link>	<link=hlight+wave>CONGRATULATIONS ON YOUR NEW HOME!</link>
Tertilus_4_630d9106-0a0d-40dc-ab84-7af8131e5aee	Да не переживай ты, тут всё равно никто не живёт.	Don't worry, no one lives here anyway.
Tertilus_4_8e4fdfb2-1de3-4617-b670-60094ea103d5	Ты уже мне помог, этого достаточно!	You've already helped me, that's enough!
Tertilus_4_1269ff73-3788-4852-8e13-323cc95420bb	Пойдём лучше внутрь.	Let's go inside instead.
